customer_id,company_name,account_manager,status,primary_gateway
CUST001,Acme Retail Pvt Ltd,Priya Sharma,active,470
CUST002,Beta Logistics Ltd,Rahul Mehta,active,531
CUST003,Cirrus Fintech Pvt Ltd,Anita Rao,active,612
CUST004,Delta Health Services Ltd,Vikram Singh,inactive,704
CUST005,Everest EdTech Pvt Ltd,Priya Sharma,active,815
CUST006,Frontier Travel Ltd,Neha Kulkarni,suspended,926
CUST007,Gamma Media Networks Pvt Ltd,Rahul Mehta,active,1043
CUST008,Horizon Bank Ltd,Arjun Nair,active,1157
CUST009,Indus Grocers Pvt Ltd,Neha Kulkarni,inactive,1268
CUST010,Juno Mobility Pvt Ltd,Arjun Nair,active,1390
CUST011,Kinetic Sports Pvt Ltd,Arjun Nair,suspended,1493
CUST012,Lumen Energy Ltd,Anita Rao,active,1555
CUST013,Meridian Insurance Pvt Ltd,Sneha Iyer,suspended,1639
CUST014,Nimbus Cloud Services Ltd,Neha Kulkarni,active,1687
CUST015,Orbit Payments Pvt Ltd,Divya Menon,active,1740
CUST016,Pinnacle Realty Ltd,Anita Rao,inactive,1783
CUST017,Quasar Analytics Pvt Ltd,Rahul Mehta,inactive,1818
CUST018,Radiant Pharma Ltd,Arjun Nair,active,1895
CUST019,Summit Auto Pvt Ltd,Arjun Nair,active,1977
CUST020,Tandem Staffing Ltd,Divya Menon,active,2045
CUST021,Umbra Security Pvt Ltd,Rahul Mehta,active,2110
CUST022,Vertex Foods Ltd,Rahul Mehta,active,2168
CUST023,Westline Shipping Pvt Ltd,Sneha Iyer,active,2227
CUST024,Xenon Telecom Ltd,Rahul Mehta,active,2307
CUST025,Yield Agritech Pvt Ltd,Anita Rao,suspended,2385
CUST026,Zenith Hotels Ltd,Vikram Singh,inactive,2426
CUST027,Aurora Fashion Pvt Ltd,Rahul Mehta,active,2490
CUST028,Beacon Legal Services Ltd,Neha Kulkarni,inactive,2569
CUST029,Cobalt Manufacturing Pvt Ltd,Farah Qureshi,active,2617
CUST030,Drift Mobility Ltd,Rahul Mehta,active,2708
